name,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
S Diez,35,100,64,114,5,10,4,15,0.5981308411214953,0.5565217391304348,0.355,0.4090909090909091,0.021609101991060493,-0.014090909090909133,0.00375909645007568
F Lopez,2616,8043,5282,8095,210,584,444,707,0.6523489932885906,0.6245353159851301,0.325678496868476,0.3654970760233918,0.007813677303460515,0.00018142084508417783,0.0039975490742723465
S Ofner,97,261,166,269,12,38,24,34,0.6233062330623306,0.6268656716417911,0.3684210526315789,0.37681159420289856,-0.023559438579460506,0.03160945842868037,0.0040250099246099316
J Dasnieres De Veigy,39,115,62,109,2,10,4,10,0.6028708133971292,0.5818181818181818,0.3488372093023256,0.38181818181818183,0.0010526315789474334,0.007019027484143757,0.004035829531545595
A Roddick,641,1826,1344,1907,70,156,74,111,0.7015445939212755,0.6350710900473934,0.35150571131879543,0.4296875,0.046473503873882174,-0.038181788681204566,0.004145857596338804
N Basilashvili,1379,3901,2470,4068,147,355,238,430,0.6079654510556622,0.5622641509433962,0.35366158460384906,0.41098901098901097,0.02570130011226603,-0.017327426385161916,0.004186936863552057
R Dutra Silva,514,1552,874,1510,39,110,98,187,0.5826086956521739,0.5505226480836237,0.33292978208232443,0.3761904761904762,0.012086047568550157,-0.003260694108151753,0.004412676730199202
P Andujar,1286,3539,2006,3416,125,320,233,414,0.5887372013651877,0.5700389105058365,0.3632866172025282,0.39285714285714285,-0.0013017091406488483,0.010429474345385346,0.004563882602368249
T Paul,449,1265,783,1256,52,124,85,150,0.6246312684365781,0.58,0.3553113553113553,0.4107142857142857,0.024631268436578164,-0.015402930402930372,0.004614169016823896
L Djere,800,2309,1405,2292,77,214,158,264,0.6141304347826086,0.5989010989010989,0.3470319634703196,0.37261146496815284,-0.004770664118490236,0.014420498502166777,0.004824917191838271
F Tiafoe,1447,4204,2744,4314,142,344,227,394,0.6361576801087448,0.5809716599190283,0.3445631970260223,0.4099099099099099,0.03518602018971652,-0.025346712883887602,0.004919653652914458
Z Svajda,154,429,261,419,12,31,22,37,0.626204238921002,0.5985401459854015,0.3591682419659735,0.3969465648854962,0.007664092935600459,0.0022216770804773453,0.004942885008038902
