,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
S Querrey,686,2037,1352,2011,58,176,91,151,0.670772145902416,0.601593625498008,0.33785680861020123,0.35507246376811596,0.04917852040440797,0.022784344842085268,0.035981432623246615
K Edmund,380,1101,724,1094,33,100,44,77,0.6599664991624791,0.5875706214689266,0.3463780183180683,0.365,0.05239587769355249,0.021378018318068313,0.0368869480058104
M Ebden,452,1226,707,1122,45,118,62,120,0.6309328968903437,0.5545454545454546,0.3680241327300151,0.38990825688073394,0.05638744234488914,0.01811587584928117,0.03725165909708515
D Thiem,1110,2819,1823,2776,122,330,135,216,0.6561196105702365,0.6170886075949367,0.3926002055498458,0.3767441860465116,0.019031002975299822,0.05585601950333421,0.037443511239317016
A Bolt,382,1059,629,996,35,101,52,100,0.6322992700729927,0.56,0.36065573770491804,0.373134328358209,0.052299270072992635,0.027521409346709068,0.03991033970985085
A Rublev,570,1497,932,1417,65,167,78,137,0.6565589980224127,0.5822784810126582,0.3794614902943018,0.39325842696629215,0.05428051700975446,0.026203063328009667,0.04024179016888206
R Federer,2188,5513,3732,5261,243,625,182,275,0.7080768513337063,0.6453333333333333,0.3962230536255122,0.3903448275862069,0.04274351800037303,0.04587822603930527,0.044310872019839145
N Djokovic,2767,6385,4293,6061,385,854,220,351,0.7071903911702646,0.6208425720620843,0.43222821896684654,0.44549266247379454,0.06634781910818034,0.026735556493052003,0.04654168780061617
J Sousa,510,1443,866,1350,35,126,68,120,0.6413793103448275,0.5818181818181818,0.35385612443292286,0.33185840707964603,0.03956112852664574,0.061997717353276825,0.05077942293996128
R Gasquet,809,1938,1286,1895,103,240,47,104,0.6766917293233082,0.5245098039215687,0.41462217860647693,0.42058823529411765,0.1321819254017396,0.03403394331235928,0.08310793435704944
