player1_new,count,p1_choke_pct,opp_choke_adj
B Kavcic,3782,0.024710627649412082,0.003482585065718985
R Dutra Silva,3359,0.004532222304015257,0.003498773263921053
R Albot,7635,0.04031081211779708,0.003504002173482421
G Monfils,25101,0.008860012084663083,0.003513285390707182
M Kecmanovic,3898,0.010919147562630327,0.00361419906048517
E Donskoy,4307,0.018255557906356266,0.004091435594945265
C Moutet,4854,0.0158492683136539,0.004208626155644876
Y Sugita,4438,-0.008536817939126732,0.004229240206049571
E Gulbis,9326,0.00793810847246027,0.0042658760319563985
K Nishikori,28020,0.013266139123514204,0.004281036516516781
F Fognini,19341,0.009841876950294665,0.0043040005637200755
R Berankis,8019,0.02840122023886479,0.004341560704831465
A Bolt,2790,0.042146001606422644,0.004349537262344357
J Janowicz,8657,0.005421384521637963,0.004356874458719085
L Kubot,4137,-0.015127465746224655,0.004390186727917631
S Querrey,18850,0.020068458858345704,0.004519069174472564
M Baghdatis,12262,0.014278327436314507,0.004586857554047076
A Bublik,4838,0.00012047780250442738,0.004693605088491348
P Herbert,9465,0.015100993485392164,0.004765069469755121
L Hewitt,8341,0.01707525913873393,0.004849886806058731
J Sock,12465,0.005258165619435064,0.004886740756091075
U Humbert,4371,0.026030354042399926,0.004906096842144333
F Delbonis,7246,-0.008089266757913714,0.0049112159191908806
J Vesely,9711,-0.027457127881596807,0.004920040111479432
L Mayer,10519,0.013221432759470153,0.00498428438289219
J Martin Del Potro,18183,0.03302160218366988,0.005043641401255306
J Isner,25299,0.008433937434499474,0.00512687181087231
B Becker,4322,0.01622267760665368,0.005163781404955258
A Roddick,4000,0.004601901931936072,0.00520588827328689
N Almagro,10952,0.007992232012649486,0.005331934858794277
H Hurkacz,5683,0.02052159968575784,0.005341755934473569
A Davidovich Fokina,3651,0.009898076409082258,0.005491424957052339
D Istomin,9182,0.02951606608531243,0.005559777728553065
B Paire,17386,0.00275739267659297,0.005646790745400615
M Zverev,4572,-0.0026524537029647874,0.005831449060124686
T Gabashvili,5146,-0.00538708497924816,0.00586507484066644
B Klahn,3743,-0.007963291622041768,0.005882848342012678
T Robredo,7985,0.010001223782190701,0.005888752440781985
M Ebden,4840,0.04011749426703739,0.005958307623736218
A Bedene,9399,0.008714094504581703,0.005991586076038825
M Klizan,7058,0.005444482553419,0.006145853583389091
V Troicki,11195,-0.022784908141860058,0.006201902461903893
J Donaldson,3315,-0.011556318443714863,0.0062034908548708745
T Fritz,9722,0.0021721940907303947,0.006243837651484348
F Bagnis,3075,-0.01873498314808017,0.006260315517220876
D Dzumhur,7330,0.008925873685525998,0.006283315797509062
R Federer,39156,0.025990184223568295,0.006332120793825619
M Cilic,29287,0.024462673012754867,0.006360068057348507
P Lorenzi,7829,-0.0039896786744850095,0.006396472645989695
D Ferrer,23784,0.0280069418663175,0.00643528146156316
Y Nishioka,7481,0.013182614330733946,0.006494009488667469
J Londero,3273,0.013847460342370613,0.006504189106569165
L Lacko,5580,-0.02765395510972986,0.00652521326328067
M Russell,2928,0.0020489488446925807,0.006552193692450743
R Stepanek,5298,0.00823347451219236,0.006564704533454151
J Ward,2948,-0.01330993367536162,0.0065916126416366684
M Raonic,25418,0.008811463203428162,0.006735760533456759
A Falla,3792,0.01747135582525991,0.006807742132327668
S Tsitsipas,11415,0.030639035638154677,0.0068087561524548985
D Evans,8613,-0.006647725270276692,0.006942313197569991
L Harris,4463,0.04348901626661998,0.006954229418901135
J Nieminen,4848,-0.009465453590981877,0.006964374338853509
Y Lu,6017,0.00735966284647003,0.007012920679695253
B Tomic,15423,-0.01760656182996388,0.007048585735554669
M Ymer,3432,0.012814075014058469,0.007060565565923424
A Zverev,19444,0.022752451229205804,0.007197123063372933
G Dimitrov,23095,0.01500567701215894,0.007251366686852466
F Verdasco,20388,-0.00911170749534989,0.007297463776026426
D Young,8104,-0.01594506377987081,0.007331213374434816
M Matosevic,3789,-0.014818240108252227,0.007352453798699231
R Bemelmans,3747,0.01616056130573136,0.007483334624121814
P Kohlschreiber,15491,-0.012131833148647238,0.00750152534790027
D Schwartzman,15522,0.01271116073573966,0.007512373970342346
F Lopez,17429,0.00381199527307398,0.007524668964782451
D Thiem,21945,0.023938327079837098,0.007533612385720923
F Auger Aliassime,5631,0.03577154300308754,0.007539775482857884
G Pella,8908,0.005649385379642967,0.0076373927940213355
D Medvedev,12692,0.020485159160554524,0.007690571342775449
S Giraldo,6218,-0.006771345942830294,0.007698708968490272
I Dodig,3723,-0.0013458890279956558,0.00778732539819154
T Berdych,24831,0.0017750357276974397,0.00783442463644256
K Edmund,9548,-0.0017477450609735576,0.007834428166142446
N Kyrgios,16081,0.006257946720913089,0.00783560994211135
L Rosol,6332,-0.013006542899913423,0.007843271746518773
D Brown,4542,-0.03440459662487609,0.007875107079953605
M Kukushkin,10842,-0.01750691829558605,0.007888096324182269
M Youzhny,9797,-0.00015845321895235825,0.007904002203410867
J Millman,9919,-0.016998373106569976,0.00798715339834011
J Thompson,8917,0.0199656225538093,0.008094049817951261
T Bellucci,4752,0.0024568341745336065,0.008106421564003471
M Jaziri,4950,-0.03692979898814426,0.008150100235369766
D Koepfer,4597,-0.029403224298081274,0.008190283919434133
M Cecchinato,6410,0.03187480519946376,0.008231276546308577
V Pospisil,8729,-0.007341001023002956,0.008260025838616859
S Wawrinka,32453,0.002401559581588774,0.008282697638922427
M Giron,3661,-0.033829517298951076,0.008294055685712058
P Cuevas,10102,0.0008684662971811927,0.008395958483826486
A Murray,35187,0.017079719375408288,0.008407894970159584
R Bautista Agut,18141,0.0026438057606873763,0.008465203883790285
S Johnson,13837,-0.006998286810705997,0.008606702926664166
B Van De Zandschulp,2546,0.003101348106421707,0.008730842195128952
T Paul,2795,0.005051648369045124,0.008842118134455401
R Opelka,5162,0.003141572715420769,0.00891086070377175
E Gerasimov,2789,0.021601696883021878,0.00892772795686925
T Fabbiano,4316,0.009311657945108983,0.00898952579014473
G Soeda,2618,0.019793711734248765,0.008997585840678004
R Nadal,37515,0.0015229527921909796,0.00900783006711261
K Anderson,22938,0.022920875865903457,0.00901672956963942
J Struff,5047,0.020464831955451835,0.009031846286953268
N Jarry,2920,-0.0125363836771888,0.009102888433158466
A Kuznetsov,6535,0.02420362788057668,0.009117846846804166
G Simon,21726,-0.009748657109471754,0.009132776719498224
A Mannarino,12815,0.005299469151010085,0.009172818882462202
