player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name,,,
100158,John,Bartlett,R,19480317,AUS,188,Q6220953,J Bartlett,,,
100159,Vladimir,Korotkov,R,19480423,RUS,,Q12488,V Korotkov,,,
100160,Georges,Goven,R,19480426,FRA,173,Q1563939,G Goven,,,
100161,Jurgen,Fassbender,R,19480528,GER,,Q77578,J Fassbender,,,
100162,Brian,Fairlie,R,19480613,NZL,173,Q1563153,B Fairlie,,,
100163,Tom,Leonard,R,19480715,USA,175,Q1563959,T Leonard,,,
100164,Bill,Lofgren,R,19480731,USA,,,B Lofgren,,,
100165,Steve,Siegel,R,19480904,USA,,Q23023819,S Siegel,,,
100166,Gene Stuart,Malin,R,19481001,USA,,,G Malin,,,
100167,Sever,Muresan,R,19481023,ROU,,Q7457808,S Muresan,,,
100168,Kenneth,McMillan,R,19481125,USA,,,K McMillan,,,
100169,Ian,Fletcher,R,19481201,AUS,,Q3147262,I Fletcher,,,
100170,Bernard,Mignot,R,19481203,BEL,,Q2898324,B Mignot,,,
100171,John,Yuill,R,19481212,RSA,,Q3182800,J Yuill,,,
100172,Tito,Vazquez,R,19490101,ARG,173,Q2040551,T Vazquez,,,
100173,Andrew,Pattison,R,19490130,USA,188,Q716408,A Pattison,,,
100174,Manuel,Orantes,L,19490206,ESP,178,Q318569,M Orantes,,,
100175,Zan,Guerry,R,19490212,USA,,Q22278049,Z Guerry,,,
100176,Hans,Kary,L,19490223,AUT,172,Q3126972,H Kary,,,
100177,Pavel,Hutka,R,19490228,CZE,,Q7155624,P Hutka,,,
100178,Bob,Giltinan,R,19490407,AUS,,Q2907669,B Giltinan,,,
100179,Karl,Meiler,R,19490430,GER,178,Q89533,K Meiler,,,
100180,Bill,Lloyd,R,19490507,AUS,,,B Lloyd,,,
100181,Larry,Turville,R,19490604,USA,,,L Turville,,,
100182,Mike,Estep,R,19490719,USA,173,Q4107672,M Estep,,,
100183,Jim,Ward,R,19490728,USA,,,J Ward,,,
100184,Lars,Elvstrom,R,19490818,DEN,,Q16064404,L Elvstrom,,,
100185,Patrick,Proisy,R,19490910,FRA,180,Q1282611,P Proisy,,,
100186,Jeff,Borowiak,R,19490925,USA,193,Q1565788,J Borowiak,,,
100187,Luis Felipe,Tavares,R,19490926,BRA,,,L Tavares,,,
100188,John,Fort,R,19490928,USA,,,J Fort,,,
100189,Dale,Power,R,19491002,CAN,,Q5210590,D Power,,,
100190,Norman,Holmes,R,19491005,USA,,,N Holmes,,,
100191,Doug,Crawford,R,19491015,USA,188,,D Crawford,,,
100192,Kent,Crawford,R,19491015,USA,,,K Crawford,,,
100193,Wanaro,N'Godrella,R,19491019,FRA,,Q3566000,W N'Godrella,,,
100194,Larry,Parker,R,19491023,USA,,,L Parker,,,
100195,Nicolas,Kelaidis,R,19491029,GRE,178,Q27996064,N Kelaidis,,,
100196,Haroon,Rahim,R,19491112,PAK,,Q1258703,H Rahim,,,
100197,Alejandro,Pierola,R,19491120,CHI,,Q4714630,A Pierola,,,
100198,Alvaro,Betancur,R,19500103,COL,,Q86431834,A Betancur,,,
100199,Patrice,Dominguez,L,19500112,FRA,173,Q3368924,P Dominguez,,,
100200,Antonio,Zugarelli,R,19500117,ITA,,Q267328,A Zugarelli,,,
100201,Syd,Ball,R,19500124,AUS,188,Q1563900,S Ball,,,
100202,George,Amaya,L,19500212,USA,173,,G Amaya,,,
100203,Phil,Dent,R,19500214,AUS,183,Q976190,P Dent,,,
100204,Pancho,Walthall,L,19500216,USA,,,P Walthall,,,
100205,Paul,Gerken,R,19500315,USA,185,Q3371310,P Gerken,,,
100206,Kenichi,Hirai,R,19500319,JPN,,Q17986761,K Hirai,,,
100207,Noel,Phillips,R,19500328,AUS,,,N Phillips,,,
100208,Dick R,Bohrnstedt,R,19500428,USA,,Q16144736,D Bohrnstedt,,,
100209,George,Taylor,R,19500504,USA,,,G Taylor,,,
100210,Steve,Docherty,R,19500506,AUS,,Q7612404,S Docherty,,,
100211,Louk,Sanders,R,19500509,NED,,Q2157904,L Sanders,,,
100212,Franklin,Robbins,R,19500613,USA,,,F Robbins,,,
100213,Fred,Hemmes,U,19500614,NED,,Q719304,F Hemmes,,,
100214,Adriano,Panatta,R,19500709,ITA,183,Q375938,A Panatta,,,
100215,Fred,Mcnair,R,19500722,USA,183,Q3086899,F Mcnair,,,
100216,Charles,Owens,R,19500731,USA,,Q5081403,C Owens,,,
100217,Robert,Mckinley,R,19500805,USA,,Q7347560,R Mckinley,,,
100218,Butch,Palmer,R,19500904,USA,,,B Palmer,,,
100219,Geoff,Masters,R,19500919,AUS,,Q1260231,G Masters,,,
100220,Jiri,Hrebec,R,19500919,CZE,,Q2057065,J Hrebec,,,
100221,Carlos,Kirmayr,R,19500923,BRA,173,Q1042999,C Kirmayr,,,
100222,Mike,Powers,R,19500924,USA,,,M Powers,,,
100223,Jeff,Simpson,R,19501029,NZL,,Q6174987,J Simpson,,,
100224,Peter,Campbell,R,19501110,AUS,,,P Campbell,,,
100225,Peter,Doerner,R,19501117,AUS,,Q18010763,P Doerner,,,
100226,Mike,Machette,R,19510127,USA,,Q13512805,M Machette,,,
100227,Alvin,Gardiner,R,19510211,AUS,,Q22959202,A Gardiner,,,
100228,Kjell,Johansson,R,19510212,SWE,,Q5886813,K Johansson,,,
100229,Dick,Stockton,R,19510218,USA,188,Q967423,D Stockton,,,
100230,Welry,Fritz,R,19510219,CAN,,,W Fritz,,,
100231,Erik,Van Dillen,R,19510221,USA,183,Q1259691,E Van Dillen,,,
100232,Eddie,Dibbs,R,19510223,USA,170,Q1282765,E Dibbs,,,
100233,Ricardo,Cano,R,19510226,ARG,170,Q3430221,R Cano,,,
100234,Allan,McDonald,R,19510301,AUS,,Q16855281,A McDonald,,,
100235,Antonio,Munoz,R,19510301,ESP,,Q4776822,A Munoz,,,
100236,John,James,R,19510307,AUS,183,Q6241493,J James,,,
100237,Bill,Freer,R,19510309,RSA,,,B Freer,,,
100238,Rick,Fisher,R,19510329,USA,,Q7331389,R Fisher,,,
100239,Hans,Engert,R,19510422,GER,,Q1566665,H Engert,,,
100240,Joao,Soares,R,19510425,BRA,185,Q6298385,J Soares,,,
100241,Joel,Bailey,R,19510425,USA,,Q22095303,J Bailey,,,
100242,Mike,Collins,R,19510501,GBR,,,M Collins,,,
100243,Steve,Krulevitz,R,19510530,USA,175,Q7613081,S Krulevitz,,,
100244,John,Alexander,R,19510704,AUS,190,Q1281683,J Alexander,,,
100245,Jeff,Austin,R,19510705,USA,,Q6173248,J Austin,,,
100246,Frank,Puncec,R,19510709,RSA,,Q62513964,F Puncec,,,
100247,Rolf,Thung,L,19510727,NED,190,Q1821050,R Thung,,,
100248,Max,Hurlimann,R,19510730,SUI,,,M Hurlimann,,,
100249,Paolo,Bertolucci,R,19510803,ITA,175,Q484985,P Bertolucci,,,
100250,Woody,Blocher,R,19510824,USA,173,Q87495855,W Blocher,,,
100251,Grover Raz,Reid,R,19510827,USA,,,G Reid,,,
100252,Tim,Gullikson,R,19510908,USA,180,Q962989,T Gullikson,,,
100253,Tom,Gullikson,L,19510908,USA,180,Q1855348,T Gullikson,,,
100254,George,Glowa,R,19511001,USA,188,,G Glowa,,,
100255,Roscoe,Tanner,L,19511015,USA,183,Q54681,R Tanner,,,
100256,Luis,Baraldi,R,19511021,MEX,,,L Baraldi,,,
100257,Ross,Case,R,19511101,AUS,,Q1260196,R Case,,,
100258,Jorge,Andrew,R,19511102,VEN,,Q11705726,J Andrew,,,
100259,Peter,Feigl,R,19511130,AUT,183,Q3376565,P Feigl,,,
100260,Gary,Groslimond,R,19520103,USA,,,G Groslimond,,,
100261,Brian,Gottfried,R,19520127,USA,183,Q912255,B Gottfried,,,
100262,Rolf,Norberg,R,19520131,SWE,,Q3440373,R Norberg,,,
100263,John,Andrews,R,19520205,USA,,Q3180915,J Andrews,,,
100264,Lajos,Levai,R,19520207,YUG,,,L Levai,,,
100265,Cliff,Letcher,R,19520209,AUS,,Q2979053,C Letcher,,,
100266,John,Feaver,R,19520216,GBR,190,Q6232841,J Feaver,,,
100267,Rayno,Seegers,R,19520229,RSA,,Q18030745,R Seegers,,,
100268,Denis,Naegelen,R,19520314,FRA,,Q5802672,D Naegelen,,,
100269,Joe,Garcia,R,19520317,USA,,,J Garcia,,,
100270,Anand,Amritraj,R,19520320,IND,185,Q2698644,A Amritraj,,,
100271,Jean Francois,Caujolle,L,19520331,FRA,,Q3165519,J Caujolle,,,
100272,Sandy,Mayer,R,19520405,USA,178,Q2096054,S Mayer,,,
100273,Kim,Warwick,R,19520408,AUS,183,Q1741596,K Warwick,,,
100274,Eric,Deblicker,R,19520417,FRA,178,Q3591073,E Deblicker,,,
100275,Hartmut,Kirchhubel,R,19520423,GER,,Q22278629,H Kirchhubel,,,
100276,Terry,Moor,L,19520423,USA,178,Q716901,T Moor,,,
100277,Jacques,Thamin,R,19520523,FRA,,Q13365306,J Thamin,,,
100278,Frank,Gebert,R,19520611,GER,,Q3082618,F Gebert,,,
100279,Mike,Cahill,R,19520617,USA,183,Q6846222,M Cahill,,,
100280,Wojtek,Fibak,R,19520803,POL,183,Q505565,W Fibak,,,
100281,Sashi,Menon,R,19520809,IND,180,Q7425124,S Menon,,,
100282,Guillermo,Vilas,L,19520817,ARG,180,Q201515,G Vilas,,,
100283,Andre,Zietsmann,R,19520819,RSA,,,A Zietsmann,,,
100284,Jimmy,Connors,L,19520902,USA,178,Q53393,J Connors,,,
