,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num
67,2017,frenchopen,1208,Jeremy Chardy,Kei Nishikori,,,,,,,,,,,1208
68,2017,frenchopen,1209,Stan Wawrinka,Alexandr Dolgopolov,,,,,,,,,,,1209
69,2017,frenchopen,1210,Andreas Seppi,Fabio Fognini,,,,,,,,,,,1210
70,2017,frenchopen,1211,Richard Gasquet,Victor Estrella Burgos,,,,,,,,,,,1211
71,2017,frenchopen,1212,Thiago Monteiro,Gael Monfils,,,,,,,,,,,1212
72,2017,frenchopen,1213,Renzo Olivo,Kyle Edmund,,,,,,,,,,,1213
73,2017,frenchopen,1214,Kevin Anderson,Nick Kyrgios,,,,,,,,,,,1214
74,2017,frenchopen,1215,David Ferrer,Feliciano Lopez,,,,,,,,,,,1215
75,2017,frenchopen,1216,Konstantin Kravchuk,Marin Cilic,,,,,,,,,,,1216
76,2017,frenchopen,1217,Milos Raonic,Rogerio Dutra Silva,,,,,,,,,,,1217
77,2017,frenchopen,1218,Marco Trungelliti,Guillermo Garcia Lopez,,,,,,,,,,,1218
78,2017,frenchopen,1219,Pablo Carreno Busta,Taro Daniel,,,,,,,,,,,1219
79,2017,frenchopen,1220,Tommy Robredo,Grigor Dimitrov,,,,,,,,,,,1220
80,2017,frenchopen,1221,Jiri Vesely,Aljaz Bedene,,,,,,,,,,,1221
81,2017,frenchopen,1222,Mikhail Kukushkin,Roberto Bautista Agut,,,,,,,,,,,1222
82,2017,frenchopen,1223,Nikoloz Basilashvili,Viktor Troicki,,,,,,,,,,,1223
83,2017,frenchopen,1224,Robin Haase,Rafael Nadal,,,,,,,,,,,1224
84,2017,frenchopen,1225,Dominic Thiem,Simone Bolelli,,,,,,,,,,,1225
85,2017,frenchopen,1226,Borna Coric,Steve Johnson,,,,,,,,,,,1226
86,2017,frenchopen,1227,Ivo Karlovic,Horacio Zeballos,,,,,,,,,,,1227
87,2017,frenchopen,1228,Sergiy Stakhovsky,David Goffin,,,,,,,,,,,1228
88,2017,frenchopen,1229,Lucas Pouille,Thomaz Bellucci,,,,,,,,,,,1229
89,2017,frenchopen,1230,Benjamin Bonzi,Albert Ramos Vinolas,,,,,,,,,,,1230
90,2017,frenchopen,1231,Stefano Napolitano,Diego Schwartzman,,,,,,,,,,,1231
91,2017,frenchopen,1232,Joao Sousa,Novak Djokovic,,,,,,,,,,,1232
92,2017,frenchopen,1301,Andy Murray,Juan Martin Del Potro,,,,,,,,,,,1301
93,2017,frenchopen,1302,John Isner,Karen Khachanov,,,,,,,,,,,1302
94,2017,frenchopen,1303,Fernando Verdasco,Pablo Cuevas,,,,,,,,,,,1303
95,2017,frenchopen,1304,Hyeon Chung,Kei Nishikori,,,,,,,,,,,1304
96,2017,frenchopen,1305,Stan Wawrinka,Fabio Fognini,,,,,,,,,,,1305
97,2017,frenchopen,1306,Richard Gasquet,Gael Monfils,,,,,,,,,,,1306
98,2017,frenchopen,1307,Kyle Edmund,Kevin Anderson,,,,,,,,,,,1307
99,2017,frenchopen,1308,Feliciano Lopez,Marin Cilic,,,,,,,,,,,1308
100,2017,frenchopen,1309,Milos Raonic,Guillermo Garcia Lopez,,,,,,,,,,,1309
101,2017,frenchopen,1310,Pablo Carreno Busta,Grigor Dimitrov,,,,,,,,,,,1310
102,2017,frenchopen,1311,Jiri Vesely,Roberto Bautista Agut,,,,,,,,,,,1311
103,2017,frenchopen,1312,Nikoloz Basilashvili,Rafael Nadal,,,,,,,,,,,1312
104,2017,frenchopen,1313,Dominic Thiem,Steve Johnson,,,,,,,,,,,1313
105,2017,frenchopen,1314,Horacio Zeballos,David Goffin,,,,,,,,,,,1314
106,2017,frenchopen,1315,Lucas Pouille,Albert Ramos Vinolas,,,,,,,,,,,1315
107,2017,frenchopen,1316,Diego Schwartzman,Novak Djokovic,,,,,,,,,,,1316
108,2017,frenchopen,1401,Andy Murray,Karen Khachanov,,,,,,,,,,,1401
109,2017,frenchopen,1402,Fernando Verdasco,Kei Nishikori,,,,,,,,,,,1402
110,2017,frenchopen,1403,Stan Wawrinka,Gael Monfils,,,,,,,,,,,1403
111,2017,frenchopen,1404,Kevin Anderson,Marin Cilic,,,,,,,,,,,1404
112,2017,frenchopen,1405,Milos Raonic,Pablo Carreno Busta,,,,,,,,,,,1405
113,2017,frenchopen,1406,Roberto Bautista Agut,Rafael Nadal,,,,,,,,,,,1406
114,2017,frenchopen,1407,Dominic Thiem,Horacio Zeballos,,,,,,,,,,,1407
115,2017,frenchopen,1408,Albert Ramos Vinolas,Novak Djokovic,,,,,,,,,,,1408
116,2017,frenchopen,1501,Andy Murray,Kei Nishikori,,,,,,,,,,,1501
117,2017,frenchopen,1502,Stan Wawrinka,Marin Cilic,,,,,,,,,,,1502
118,2017,frenchopen,1503,Pablo Carreno Busta,Rafael Nadal,,,,,,,,,,,1503
119,2017,frenchopen,1504,Dominic Thiem,Novak Djokovic,,,,,,,,,,,1504
120,2017,frenchopen,1601,Andy Murray,Stan Wawrinka,,,,,,,,,,,1601
121,2017,frenchopen,1602,Rafael Nadal,Dominic Thiem,,,,,,,,,,,1602
122,2017,frenchopen,1701,Stan Wawrinka,Rafael Nadal,,,,,,,,,,,1701
0,2017,usopen,1101,Rafael Nadal,Dusan Lajovic,,,,,,,,,,,1101
1,2017,usopen,1103,Yuichi Sugita,Geoffrey Blancaneaux,,,,,,,,,,,1103
2,2017,usopen,1104,Leonardo Mayer,Richard Gasquet,,,,,,,,,,,1104
3,2017,usopen,1108,Ryan Harrison,Tomas Berdych,,,,,,,,,,,1108
4,2017,usopen,1109,David Goffin,Julien Benneteau,,,,,,,,,,,1109
5,2017,usopen,1112,Jeremy Chardy,Gael Monfils,,,,,,,,,,,1112
6,2017,usopen,1116,Vaclav Safranek,Grigor Dimitrov,,,,,,,,,,,1116
7,2017,usopen,1117,Roger Federer,Frances Tiafoe,,,,,,,,,,,1117
8,2017,usopen,1120,Andrey Kuznetsov,Feliciano Lopez,,,,,,,,,,,1120
9,2017,usopen,1124,John Millman,Nick Kyrgios,,,,,,,,,,,1124
10,2017,usopen,1128,Henri Laaksonen,Juan Martin del Potro,,,,,,,,,,,1128
11,2017,usopen,1131,Marcos Baghdatis,Taylor Fritz,,,,,,,,,,,1131
12,2017,usopen,1132,Alex de Minaur,Dominic Thiem,,,,,,,,,,,1132
13,2017,usopen,1133,Sam Querrey,Gilles Simon,,,,,,,,,,,1133
14,2017,usopen,1136,Yen Hsun Lu,Karen Khachanov,,,,,,,,,,,1136
15,2017,usopen,1139,Horacio Zeballos,Hyeon Chung,,,,,,,,,,,1139
16,2017,usopen,1140,Pierre Hugues Herbert,John Isner,,,,,,,,,,,1140
17,2017,usopen,1141,Jack Sock,Jordan Thompson,,,,,,,,,,,1141
18,2017,usopen,1144,Bernard Tomic,Gilles Muller,,,,,,,,,,,1144
19,2017,usopen,1145,Kevin Anderson,JC Aragone,,,,,,,,,,,1145
20,2017,usopen,1148,Darian King,Alexander Zverev,,,,,,,,,,,1148
21,2017,usopen,1149,Jo Wilfried Tsonga,Marius Copil,,,,,,,,,,,1149
22,2017,usopen,1151,Nicolas Almagro,Steve Johnson,,,,,,,,,,,1151
23,2017,usopen,1152,Kyle Edmund,Robin Haase,,,,,,,,,,,1152
24,2017,usopen,1157,Lucas Pouille,Ruben Bemelmans,,,,,,,,,,,1157
25,2017,usopen,1162,Thanasi Kokkinakis,Janko Tipsarevic,,,,,,,,,,,1162
26,2017,usopen,1164,Tennys Sandgren,Marin Cilic,,,,,,,,,,,1164
27,2017,usopen,1201,Rafael Nadal,Taro Daniel,,,,,,,,,,,1201
28,2017,usopen,1202,Yuichi Sugita,Leonardo Mayer,,,,,,,,,,,1202
29,2017,usopen,1203,Stefano Travaglia,Viktor Troicki,,,,,,,,,,,1203
30,2017,usopen,1204,Alexandr Dolgopolov,Tomas Berdych,,,,,,,,,,,1204
31,2017,usopen,1205,David Goffin,Guido Pella,,,,,,,,,,,1205
32,2017,usopen,1206,Donald Young,Gael Monfils,,,,,,,,,,,1206
33,2017,usopen,1208,Andrey Rublev,Grigor Dimitrov,,,,,,,,,,,1208
34,2017,usopen,1209,Roger Federer,Mikhail Youzhny,,,,,,,,,,,1209
35,2017,usopen,1210,Fernando Verdasco,Feliciano Lopez,,,,,,,,,,,1210
36,2017,usopen,1211,Philipp Kohlschreiber,Santiago Giraldo,,,,,,,,,,,1211
37,2017,usopen,1212,Malek Jaziri,John Millman,,,,,,,,,,,1212
38,2017,usopen,1214,Adrian Menendez Maceiras,Juan Martin del Potro,,,,,,,,,,,1214
39,2017,usopen,1215,Adrian Mannarino,Bjorn Fratangelo,,,,,,,,,,,1215
40,2017,usopen,1216,Taylor Fritz,Dominic Thiem,,,,,,,,,,,1216
41,2017,usopen,1217,Sam Querrey,Dudi Sela,,,,,,,,,,,1217
42,2017,usopen,1220,Hyeon Chung,John Isner,,,,,,,,,,,1220
43,2017,usopen,1224,Borna Coric,Alexander Zverev,,,,,,,,,,,1224
44,2017,usopen,1225,Jo Wilfried Tsonga,Denis Shapovalov,,,,,,,,,,,1225
45,2017,usopen,1226,Steve Johnson,Kyle Edmund,,,,,,,,,,,1226
46,2017,usopen,1229,Lucas Pouille,Jared Donaldson,,,,,,,,,,,1229
47,2017,usopen,1232,Florian Mayer,Marin Cilic,,,,,,,,,,,1232
48,2017,usopen,1301,Rafael Nadal,Leonardo Mayer,,,,,,,,,,,1301
49,2017,usopen,1302,Viktor Troicki,Alexandr Dolgopolov,,,,,,,,,,,1302
50,2017,usopen,1303,David Goffin,Gael Monfils,,,,,,,,,,,1303
51,2017,usopen,1304,Damir Dzumhur,Andrey Rublev,,,,,,,,,,,1304
52,2017,usopen,1305,Roger Federer,Feliciano Lopez,,,,,,,,,,,1305
53,2017,usopen,1306,Philipp Kohlschreiber,John Millman,,,,,,,,,,,1306
54,2017,usopen,1307,Roberto Bautista Agut,Juan Martin del Potro,,,,,,,,,,,1307
55,2017,usopen,1308,Adrian Mannarino,Dominic Thiem,,,,,,,,,,,1308
56,2017,usopen,1309,Sam Querrey,Radu Albot,,,,,,,,,,,1309
57,2017,usopen,1310,Mischa Zverev,John Isner,,,,,,,,,,,1310
58,2017,usopen,1311,Thomas Fabbiano,Paolo Lorenzi,,,,,,,,,,,1311
59,2017,usopen,1312,Kevin Anderson,Borna Coric,,,,,,,,,,,1312
60,2017,usopen,1313,Denis Shapovalov,Kyle Edmund,,,,,,,,,,,1313
61,2017,usopen,1314,Nicolas Mahut,Pablo Carreno Busta,,,,,,,,,,,1314
62,2017,usopen,1315,Lucas Pouille,Mikhail Kukushkin,,,,,,,,,,,1315
63,2017,usopen,1316,Diego Schwartzman,Marin Cilic,,,,,,,,,,,1316
64,2017,usopen,1401,Rafael Nadal,Alexandr Dolgopolov,,,,,,,,,,,1401
65,2017,usopen,1402,David Goffin,Andrey Rublev,,,,,,,,,,,1402
