,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num,,player1_new,player2_new
50,2018-ausopen-1151,2018,ausopen,1151,E. Donskoy,F. Mayer,,,,,,,,,RUS,GER,1151,,E Donskoy,F Mayer
51,2018-ausopen-1152,2018,ausopen,1152,H. Zeballos,F. Fognini,,,,,,,,,ARG,ITA,1152,,H Zeballos,F Fognini
52,2018-ausopen-1153,2018,ausopen,1153,T. Berdych,A. De Minaur,,,,,,,,,CZE,AUS,1153,,T Berdych,A De Minaur
53,2018-ausopen-1154,2018,ausopen,1154,G. Garcia-Lopez,B. Paire,,,,,,,,,ESP,FRA,1154,,G Garcia-Lopez,B Paire
54,2018-ausopen-1155,2018,ausopen,1155,K. Khachanov,P. Polansky,,,,,,,,,RUS,CAN,1155,,K Khachanov,P Polansky
55,2018-ausopen-1156,2018,ausopen,1156,F. Tiafoe,J. Del Potro,,,,,,,,,USA,ARG,1156,,F Tiafoe,J Martin Del Potro
56,2018-ausopen-1157,2018,ausopen,1157,S. Querrey,F. Lopez,,,,,,,,,USA,ESP,1157,,S Querrey,F Lopez
57,2018-ausopen-1158,2018,ausopen,1158,R. Albot,M. Fucsovics,,,,,,,,,MDA,HUN,1158,,R Albot,M Fucsovics
58,2018-ausopen-1159,2018,ausopen,1159,N. Kicker,J. Thompson,,,,,,,,,ARG,AUS,1159,,N Kicker,J Thompson
59,2018-ausopen-1160,2018,ausopen,1160,L. Lacko,M. Raonic,,,,,,,,,SVK,CAN,1160,,L Lacko,M Raonic
60,2018-ausopen-1161,2018,ausopen,1161,R. Gasquet,B. Kavcic,,,,,,,,,FRA,SLO,1161,,R Gasquet,B Kavcic
61,2018-ausopen-1162,2018,ausopen,1162,L. Sonego,R. Haase,,,,,,,,,ITA,NED,1162,,L Sonego,R Haase
62,2018-ausopen-1163,2018,ausopen,1163,S. Kwon,J. Struff,,,,,,,,,KOR,GER,1163,,S Kwon,J Struff
63,2018-ausopen-1164,2018,ausopen,1164,A. Bedene,R. Federer,,,,,,,,,SLO,SUI,1164,,A Bedene,R Federer
64,2018-ausopen-1201,2018,ausopen,1201,R. Nadal,L. Mayer,,,,,,,,,ESP,ARG,1201,,R Nadal,L Mayer
65,2018-ausopen-1202,2018,ausopen,1202,J. Millman,D. Dzumhur,,,,,,,,,AUS,BIH,1202,,J Millman,D Dzumhur
66,2018-ausopen-1203,2018,ausopen,1203,D. Schwartzman,C. Ruud,,,,,,,,,ARG,NOR,1203,,D Schwartzman,C Ruud
67,2018-ausopen-1204,2018,ausopen,1204,A. Dolgopolov,M. Ebden,,,,,,,,,UKR,AUS,1204,,A Dolgopolov,M Ebden
68,2018-ausopen-1205,2018,ausopen,1205,P. Carreno Busta,G. Simon,,,,,,,,,ESP,FRA,1205,,P Carreno Busta,G Simon
69,2018-ausopen-1206,2018,ausopen,1206,M. Jaziri,G. Muller,,,,,,,,,TUN,LUX,1206,,M Jaziri,G Muller
