,,,,,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct
,,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
match_id,P1BreakPoint,P2BreakPoint,player1,player2,,,,,,,,,,,,,,,,
2011-ausopen-1105,1.0,0.0,John Isner,Florent Serra,5.0,0.5942138643676265,0.1156072522416095,0.53125,0.532608695652174,0.5483870967741935,0.5588235294117647,0.8,5.0,0.4057861356323736,0.11560725224160948,0.2,0.4411764705882353,0.45161290322580644,0.4673913043478261,0.46875
2011-ausopen-1108,0.0,0.0,Donald Young,Marin Cilic,130.0,0.4131925307801372,0.05821030995385519,0.0,0.40523066169617894,0.4213106295149639,0.43363453815261044,0.5,130.0,0.5868074692198628,0.058210309953855184,0.5,0.5663654618473896,0.5786893704850362,0.5947693383038211,1.0
2011-ausopen-1108,0.0,1.0,Donald Young,Marin Cilic,11.0,0.4049709386612534,0.025774683129469237,0.3333333333333333,0.40248431297221154,0.4074074074074074,0.41782877316857897,0.42857142857142855,11.0,0.5950290613387466,0.025774683129469234,0.5714285714285714,0.582171226831421,0.5925925925925926,0.5975156870277885,0.6666666666666666
2011-ausopen-1108,1.0,0.0,Donald Young,Marin Cilic,1.0,0.4166666666666667,,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0,0.5833333333333334,,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
2011-ausopen-1112,0.0,0.0,Juan Ignacio Chela,Michael Llodra,200.0,0.4388482139822565,0.07128385094563638,0.0,0.42857142857142855,0.44988038277511966,0.47489674754775424,0.5087719298245614,200.0,0.5611517860177435,0.07128385094563638,0.49122807017543857,0.5251032524522458,0.5501196172248803,0.5714285714285714,1.0
2011-ausopen-1112,0.0,1.0,Juan Ignacio Chela,Michael Llodra,11.0,0.45208431849823366,0.03760805122979219,0.391304347826087,0.427663734115347,0.45454545454545453,0.48237004725554344,0.49606299212598426,11.0,0.5479156815017663,0.0376080512297922,0.5039370078740157,0.5176299527444566,0.5454545454545454,0.5723362658846529,0.6086956521739131
2011-ausopen-1112,1.0,0.0,Juan Ignacio Chela,Michael Llodra,10.0,0.4712540344970977,0.018539994175502613,0.4479166666666667,0.45405701754385963,0.4726046446947574,0.48714330024813896,0.49523809523809526,10.0,0.5287459655029023,0.018539994175502617,0.5047619047619047,0.512856699751861,0.5273953553052426,0.5459429824561404,0.5520833333333334
2011-ausopen-1113,0.0,0.0,David Nalbandian,Lleyton Hewitt,344.0,0.4856726065723287,0.03773721840106519,0.25,0.47368421052631576,0.4865228131357164,0.4938078725755439,1.0,344.0,0.5143273934276714,0.03773721840106519,0.0,0.5061921274244561,0.5134771868642836,0.5263157894736842,0.75
2011-ausopen-1113,0.0,1.0,David Nalbandian,Lleyton Hewitt,30.0,0.47339580141759324,0.023396159368596337,0.4,0.4630828354016649,0.47304856343757945,0.48755121883464125,0.5074626865671642,30.0,0.5266041985824068,0.023396159368596337,0.4925373134328358,0.5124487811653586,0.5269514365624206,0.5369171645983352,0.6
2011-ausopen-1113,1.0,0.0,David Nalbandian,Lleyton Hewitt,12.0,0.4896399313200261,0.008474784762899916,0.47435897435897434,0.4873454996022762,0.4901980505824479,0.49136900132223693,0.5079365079365079,12.0,0.510360068679974,0.00847478476289993,0.49206349206349204,0.5086309986777631,0.5098019494175521,0.5126545003977238,0.5256410256410257
