,,,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct
,,,count,mean,std,min,25%,50%,75%,max
player1,P1BreakPoint,P2BreakPoint,,,,,,,,
Attila Balazs,0.0,0.0,168.0,0.5046361064269863,0.06873484692579686,0.4383561643835616,0.4606571331290433,0.48469228366135586,0.5070195627157652,1.0
Attila Balazs,0.0,1.0,6.0,0.4851309655135671,0.03136048852090296,0.44755244755244755,0.4681784311068961,0.4809917355371901,0.49440868865647625,0.5384615384615384
Attila Balazs,1.0,0.0,7.0,0.5341693133443836,0.04131150108881067,0.5,0.5047174009790831,0.5319148936170213,0.5393939393939393,0.6190476190476191
Austin Krajicek,0.0,0.0,303.0,0.4600182961205125,0.11595060768993279,0.0,0.39886363636363636,0.4444444444444444,0.5659420289855073,0.6428571428571429
Austin Krajicek,0.0,1.0,8.0,0.4146910011161912,0.09643976706938581,0.3125,0.3183090705487122,0.41129898013955984,0.4836956521739131,0.5692307692307692
Austin Krajicek,1.0,0.0,14.0,0.5261711128512255,0.06780765567214081,0.42,0.4608883647798742,0.5550924247915912,0.572739651416122,0.5948275862068966
Axel Michon,0.0,0.0,419.0,0.5133063806508072,0.09981409283569895,0.0,0.4223180076628352,0.5459459459459459,0.5738587424633936,0.6923076923076923
Axel Michon,0.0,1.0,37.0,0.48845355994104256,0.07730483046625002,0.3684210526315789,0.41379310344827586,0.5253456221198156,0.5494880546075085,0.6101694915254238
Axel Michon,1.0,0.0,35.0,0.5667041306325034,0.062118646063193124,0.41025641025641024,0.5463033536585367,0.574468085106383,0.6146330872774641,0.6521739130434783
Benjamin Becker,0.0,0.0,2382.0,0.45732898242429615,0.08671088784209237,0.0,0.43001295336787565,0.45981206477053443,0.4896905896214333,1.0
Benjamin Becker,0.0,1.0,114.0,0.43644620811811574,0.07119490773640481,0.1111111111111111,0.4208096590909091,0.44615942028985506,0.47940470929865536,0.5555555555555556
Benjamin Becker,1.0,0.0,89.0,0.48533013162643013,0.053561331045831495,0.37333333333333335,0.45454545454545453,0.47706422018348627,0.5247524752475248,0.6521739130434783
Benjamin Bonzi,0.0,0.0,315.0,0.44455572068707777,0.0764387914333136,0.0,0.40161290322580645,0.4645669291338583,0.4934006211180124,0.625
Benjamin Bonzi,0.0,1.0,28.0,0.4395432759515233,0.056044634506794616,0.336734693877551,0.4050847457627119,0.45808232931726905,0.47620496592015576,0.5170940170940171
Benjamin Bonzi,1.0,0.0,18.0,0.49070153262079735,0.019718891395946507,0.45652173913043476,0.474384487226953,0.49578953838588724,0.5067673621172607,0.5229357798165137
Benoit Paire,0.0,0.0,7645.0,0.48144944161924236,0.07233600949560674,0.0,0.4583333333333333,0.4879518072289157,0.5114155251141552,1.0
Benoit Paire,0.0,1.0,394.0,0.46141816651530426,0.061707911686457916,0.2,0.43197174447174447,0.4697882438846295,0.5,0.631578947368421
Benoit Paire,1.0,0.0,333.0,0.5002720627886346,0.05707522084428905,0.33962264150943394,0.4787234042553192,0.5,0.5263157894736842,0.8
Bernabe Zapata Miralles,0.0,0.0,174.0,0.4743515906844935,0.0832935142169125,0.0,0.47403799903799904,0.4874991318841586,0.5086975914362177,0.5476190476190477
Bernabe Zapata Miralles,0.0,1.0,10.0,0.47956071633093567,0.012596362613217374,0.46236559139784944,0.47128437173686044,0.4747453310696095,0.4901785714285714,0.5
Bernabe Zapata Miralles,1.0,0.0,2.0,0.49974160206718343,0.016078913887446027,0.4883720930232558,0.4940568475452196,0.49974160206718343,0.5054263565891473,0.5111111111111111
Bernard Tomic,0.0,0.0,7593.0,0.5103063522331692,0.08439924765651483,0.0,0.47549019607843135,0.5084745762711864,0.543859649122807,1.0
Bernard Tomic,0.0,1.0,351.0,0.478025812062331,0.0639227395687739,0.2,0.45454545454545453,0.4855072463768116,0.5182296611778748,0.6470588235294118
Bernard Tomic,1.0,0.0,299.0,0.5340368435689569,0.07107569912649979,0.30434782608695654,0.4903525046382189,0.5259259259259259,0.5751128304319795,0.8
Bjorn Fratangelo,0.0,0.0,617.0,0.45591383055047957,0.08174005412673027,0.0,0.4161073825503356,0.456,0.4943820224719101,1.0
Bjorn Fratangelo,0.0,1.0,42.0,0.45646918199167047,0.04715892918471247,0.3333333333333333,0.4174618320610687,0.4842927631578947,0.4944561954148472,0.5040650406504065
Bjorn Fratangelo,1.0,0.0,25.0,0.4997392067470811,0.024616892625253562,0.4329896907216495,0.48520710059171596,0.4955357142857143,0.5258620689655172,0.5363636363636364
Bjorn Phau,0.0,0.0,352.0,0.44744969659806383,0.06798437101327481,0.0,0.42857142857142855,0.45266714082503556,0.4785765565853022,0.631578947368421
